iter	Logloss
0	0.6859201601
1	0.6794613728
2	0.6727313026
3	0.6664959321
4	0.6604843861
5	0.6544870151
6	0.6484541556
7	0.6433079772
8	0.6375668223
9	0.6323131862
10	0.6259955756
11	0.6213311867
12	0.6165006227
13	0.6116798667
14	0.6075823652
15	0.6029201574
16	0.5982866663
17	0.5931088668
18	0.5876253872
19	0.5834769295
20	0.5796421099
21	0.5758813738
22	0.5728083976
23	0.5701389924
24	0.5665341809
25	0.5633806608
26	0.5602826096
27	0.5574164645
28	0.5541664222
29	0.5510002098
30	0.5482977248
31	0.5453303986
32	0.5425406033
33	0.5398497963
34	0.5373590021
35	0.5341878156
36	0.5311243557
37	0.5288024791
38	0.5263965195
39	0.5244337364
40	0.5214010278
41	0.5185072376
42	0.5157595292
43	0.5138138699
44	0.5117465448
45	0.5096125573
46	0.5077691239
47	0.5059903304
48	0.5042356149
49	0.5027558993
50	0.5012610969
51	0.4996366982
52	0.4979013199
53	0.4958167271
54	0.4938012078
55	0.4925951877
56	0.4910858346
57	0.4897926152
58	0.4882615354
59	0.4872237467
60	0.4857874538
61	0.4844540058
62	0.4831715439
63	0.4819381331
64	0.4807707963
65	0.4795733106
66	0.4785164401
67	0.4769815303
68	0.4752754666
69	0.47454714
70	0.473801198
71	0.4723204284
72	0.4713474746
73	0.4699433834
74	0.4689630594
75	0.4681812401
76	0.4670329265
77	0.4662156535
78	0.4653762793
79	0.4646038219
80	0.4638046718
81	0.463088275
82	0.462323561
83	0.4616896871
84	0.4608550934
85	0.4602042354
86	0.4596366352
87	0.4588818132
88	0.4581611621
89	0.4575041451
90	0.4567548955
91	0.45600244
92	0.4549252385
93	0.4544137669
94	0.4537623865
95	0.4531922737
96	0.4526936651
97	0.4521999776
98	0.4515340652
99	0.4510764199
100	0.4504945985
101	0.4498530684
102	0.4492897711
103	0.4487448869
104	0.4481561734
105	0.4476013848
106	0.4470847981
107	0.4465531107
108	0.4460383215
109	0.4456886196
110	0.4450363594
111	0.444507922
112	0.444089804
113	0.4436794539
114	0.4432793487
115	0.4428901325
116	0.4424959163
117	0.4421088751
118	0.4417147299
119	0.44139529
120	0.4407972811
121	0.4404791363
122	0.4398072057
123	0.4392856506
124	0.4389735961
125	0.4386919697
126	0.4384097608
127	0.438077867
128	0.437668747
129	0.4372809948
130	0.4369676449
131	0.4366467651
132	0.4363312434
133	0.4360259474
134	0.4357296397
135	0.4354007474
136	0.4351069079
137	0.4348595844
138	0.4345561107
139	0.4342034749
140	0.4336749216
141	0.4334463498
142	0.433203327
143	0.4328906455
144	0.4326279551
145	0.4323675408
146	0.4320605463
147	0.4318298209
148	0.4315928835
149	0.4313193787
150	0.4310608106
151	0.4308183973
152	0.4305972658
153	0.4304040376
154	0.4301973973
155	0.4299002732
156	0.4295761374
157	0.4293301416
158	0.4291176812
159	0.4287778795
160	0.4284316148
161	0.4282266004
162	0.4280587383
163	0.4278407214
164	0.4276675633
165	0.4274334037
166	0.4271955613
167	0.4267762273
168	0.4266251571
169	0.4264470476
170	0.4260822426
171	0.4258952019
172	0.4257698243
173	0.4256018313
174	0.425430369
175	0.4252548918
176	0.4250794031
177	0.4248974456
178	0.424715529
179	0.4245832745
180	0.4241959948
181	0.4240141646
182	0.4238814882
183	0.4237346611
184	0.4235884098
185	0.4234760283
186	0.4233379653
187	0.4231331026
188	0.4230168458
189	0.4228860134
190	0.422717465
191	0.4225748255
192	0.4223192836
193	0.4221612064
194	0.4220414359
195	0.4219116965
196	0.4217092718
197	0.4216060794
198	0.421435991
199	0.421318037
200	0.4211650893
201	0.4209476892
202	0.4207771229
203	0.4205857955
204	0.4204355548
205	0.420305935
206	0.4201735226
207	0.4200493345
208	0.4199539031
209	0.4198805674
210	0.4198018574
211	0.4196830307
212	0.4195790956
213	0.4193636938
214	0.4192230917
215	0.4191103533
216	0.418958305
217	0.4188521791
218	0.4187279128
219	0.4186119857
220	0.4184809829
221	0.4183945541
222	0.418075483
223	0.4179833344
224	0.4178835376
225	0.4177135928
226	0.4175870323
227	0.4175136674
228	0.4174102318
229	0.4172764745
230	0.41717546
231	0.4171020881
232	0.4169983859
233	0.4169097786
234	0.4166470529
235	0.4165647667
236	0.4164863456
237	0.4163624291
238	0.4162389465
239	0.4161471337
240	0.4160461503
241	0.4159549933
242	0.4158805665
243	0.415769271
244	0.4156360186
245	0.4155470707
246	0.4154537858
247	0.4153966873
248	0.4152414734
249	0.415114033
250	0.4150417446
251	0.4149243146
252	0.4148310684
253	0.4147677829
254	0.4146633318
255	0.4145792777
256	0.4144991853
257	0.4143747273
258	0.4142741412
259	0.4141501596
260	0.4140530663
261	0.413836566
262	0.413771573
263	0.4136931306
264	0.4135669961
265	0.413434476
